video_id,title,published_date,view_count,hms_format
xBQdbHC9UgA,Augment Code: Worth $50/Month? Three Tests vs Claude Code,2025-08-19,4033,0:18:14
TlsoBHSqSQE,The Most Popular AI IDE is... (Poll Results),2025-08-18,641,0:09:49
J4weYKKaG-w,"Cursor Pricing Horror Continues: ""Auto"" Is Not Free Anymore",2025-08-14,8717,0:10:40
Ia54BXaci5o,CLAUDE.md and Cursor Rules: Multiple Levels,2025-08-13,2351,0:08:19
If3ObYwFepQ,4 Coding Agent Prompting Tips from Cursor's Eric (My Examples),2025-08-12,634,0:11:33
YECNCRdQHjg,"Careful with MCPs: Example ""Hack"" in Cursor via Jira MCP",2025-08-11,505,0:03:01
fd_W-Ephq3Q,I tried GPT-5 in Cursor to Solve a Performance Issue,2025-08-08,1323,0:09:44
HYVZry51CKk,NEW in Claude Code: Security Review Slash Command,2025-08-07,3370,0:07:03
vfVykBrYBWM,How to Use Claude Code Inside Cursor or PhpStorm,2025-08-06,13408,0:05:25
J7laeCOUiAo,Cursor Rules and AI Guidelines: More TESTING Instructions? #aicoding,2025-08-05,1967,0:01:00
4XWE3-sImic,Can We Trust AI to Auto-Test The Code? (My Example),2025-08-05,417,0:07:13
NIzXnfN-0bY,Claude Code: Sound Notification After Finish,2025-08-04,12425,0:01:54
7N0cJ-2x0tc,Use Claude Code to... Choose Project Architecture?,2025-07-31,565,0:05:47
uq4R6ZRfdmM,CCUndo for Claude Code: Reject or Revert Code Changes,2025-07-30,2558,0:03:19
nvBsl7273jA,Claude Code 5-hour Session: How Many Tokens Used/Left?,2025-07-29,11245,0:04:46
1SRj8W3Q8iE,Stop Using AI to Code What Terminal Can Do in 2 Seconds,2025-07-28,1268,0:02:42
q7-BOzj6TMs,AI Guidelines from Spatie: in Claude.md and Cursor Rules,2025-07-24,2803,0:03:53
4WJj7GFvKFs,My Story of AI Code with Critical Bug (while Tests Pass) #claudecode #aicoding,2025-07-22,1349,0:01:01
I6zy4HYbUuk,Claude Code: Paste Image Screenshot into Prompt #claudecode #aicoding,2025-07-22,18236,0:00:48
