song_title_db,artist_name_db,youtube_code
Killing Me Softly With His Song,Roberta Flack,DEbi_YjpA-Y
Ode to Billie Joe,Bobbie Gentry,cJZ_ViDADOE
Piano Man,Billy Joel,gxEPV4kolz0
Welcome to the Jungle,Guns n’ Roses ,o1tj2zJ2Wvg
Umbrella,Rihanna Featuring Jay-Z ,CvBfHwUxHIk
Bitter Sweet Symphony,Verve The,1lyu1KKwC74
Baby Love,Supremes The,iOA_Vy-MKFA
Iron Man,Black Sabbath ,5s7_WbiR79E
Train in Vain,Clash The,aUzBgeI5dpc
You Are the Sunshine of My Life,Stevie Wonder,SbenaOqv4yQ
Sweet Little Sixteen,Chuck  Berry,TQsMuCwwL3g
Higher Ground,Stevie Wonder,1esf0efHbjM
Wild Thing,Troggs The,JiqkcyLZrg4
Money (That’s What I Want),Barrett Strong,yeVx1C73o8k
She’s Not There,Zombies The,it68QbUWVPM
In Dreams,Roy Orbison,MVRunwyoTMA
Spirit in the Sky,Norman Greenbaum,n95A6G9IxlM
Beautiful Day,U2 ,co6WMzDOh1o
What’s Love Got to Do With It,Tina Turner,oGpFcHTxjZs
I Can’t Make You Love Me,Bonnie Raitt,nW9Cu6GYqxo
Blue Eyes Crying in the Rain,Willie Nelson,JA644rSZX1A
Cortez the Killer,Neil Young,uX9k9aoX6gk
Maybe I’m Amazed,Paul McCartney,DNh5Ca1dIXM
Piece of My Heart,Big Brother and the Holding Company ,SCngPse1iiI
Unchained Melody,Righteous Brothers The,EQTLtVjsabM
Wonderful World,Sam Cooke,R4GLAKEjU4w
Goodbye Yellow Brick Road,Elton John,wy709iNG6i8
Runaround Sue,Dion ,4NQLmUOgT5M
Spanish Harlem,Ben E. King,OGd6CdtOqEE
All Shook Up,Elvis Presley,23zLefwiii4
Sweet Dreams (Are Made of This),Eurythmics ,qeMFqkcPYcg
Little Wing,Jimi Hendrix Experience The,72ABomY0MmA
Got My Mojo Working,Muddy Waters,aI_JFcrTooM
The Harder They Come,Jimmy Cliff,7Znh0OM9jiA
Baby I Need Your Loving,Four Tops The,joqjBAJx4ZA
Shop Around,Smokey Robinson and the Miracles ,AQGXa3FiXKM
Subterranean Homesick Blues,Bob Dylan,MGxjIBEZvx0
Fight the Power,Public Enemy ,8PaoLy7PHwk
Where Did Our Love Go,Supremes The,qTBmgAOO0Nw
Kiss,Prince and the Revolution ,H9tEvfIsDyo
The Twist,Chubby Checker,im9XuJJXylw
Pink Houses,John Cougar Mellencamp,qOfkpu6749w
The Boys of Summer,Don Henley,P8Jw5FbKbK0
The Older I Get,Alan Jackson,VfJcC5bzNAQ
Love and Hate,Michael Kiwanuka,w44dlsnJ1no
Someone You Loved,Lewis Capaldi,FGGo8LFmbjs
Perfect,Ed Sheeran,9H_sZO0yJKs
Always Remember Us This Way,Lady Gaga,6-Dci8X2Zvk
Because You Loved Me,Anonymous Singer,c5OebIpqKec
All Too Well,Taylor Swift,r0yq_yXFQhg
Flowers,Miley Cyrus,Sok3OorM9w8
Shallow,Lady Gaga,bo_efYhYU2A
Let Her Go,Passenger ,xv1EprTdgBE
Thinking Out Loud,Ed Sheeran,H9kcLTStfpQ
Your Man,Josh Turner,nADTbWQof7Y
Forever Young,UNDRESSD ,7c5S50Eh36k
What's Up,4 Non Blondes ,6NXnxTNIWkc
Faded,Alan Walker,yr8LpXvtrhQ
White Flag,Dido ,j-fWDrZSiZs
Life for Rent,Dido ,Bwt9GZmAWKo
More Than Words,Extreme ,UrIiLvg58SY
